SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
MLS Listing,,Single Family Residential,42 Celebration Pl,Asheville,NC,28806,451500,3,2.0,Crest Mountain,1348,10454,1968,8,335,,Active,,,https://www.redfin.com/NC/Asheville/42-Celebration-Pl-28804/home/104293740,CANOPYMLS as Distributed by MLS Grid,4227140,N,Y,35.612324,-82.616245
MLS Listing,,Single Family Residential,35 Windsor Rd,Asheville,NC,28804,900000,4,3.0,Lakeview Park,2953,28314,1953,1,305,42,Active,March-16-2025 02:00 PM,March-16-2025 04:00 PM,https://www.redfin.com/NC/Asheville/35-Windsor-Rd-28804/home/110814413,CANOPYMLS as Distributed by MLS Grid,4227474,N,Y,35.6365589,-82.5550932
MLS Listing,,Single Family Residential,72 Jonestown Rd,Woodfin,NC,28804,645000,4,2.5,Woodfin,2288,10018,2020,1,282,,Active,March-9-2025 02:00 PM,March-9-2025 04:00 PM,https://www.redfin.com/NC/Asheville/72-Jonestown-Rd-28804/home/174366874,CANOPYMLS as Distributed by MLS Grid,4229228,N,Y,35.6303916,-82.5886804
MLS Listing,,Multi-Family (2-4 Unit),55 Lookout Dr,Asheville,NC,28804,499900,3,2.0,Larchmont Park,1583,6969,1961,2,316,,Active,,,https://www.redfin.com/NC/Asheville/55-Lookout-Dr-28804/home/111290494,CANOPYMLS as Distributed by MLS Grid,4227833,N,Y,35.6233993,-82.5574827
MLS Listing,,Single Family Residential,36 Wilderness Rd,Asheville,NC,28804,750000,4,3.0,Asheville,2466,43124,1982,2,304,,Active,March-9-2025 01:00 PM,March-9-2025 03:00 PM,https://www.redfin.com/NC/Asheville/36-Wilderness-Rd-28804/home/111296167,CANOPYMLS as Distributed by MLS Grid,4228688,N,Y,35.6700561,-82.5736664
MLS Listing,,Single Family Residential,1 Countryside Ln,Asheville,NC,28804,593000,3,2.5,Countryside Estates,2626,24829,1994,2,226,,Active,,,https://www.redfin.com/NC/Asheville/1-Countryside-Ln-28804/home/110877278,CANOPYMLS as Distributed by MLS Grid,4226116,N,Y,35.6541251,-82.6276952
MLS Listing,,Single Family Residential,10 Woodcrest Rd,Asheville,NC,28804,915000,4,3.0,Grove Park,2138,16117,1955,2,428,,Active,,,https://www.redfin.com/NC/Asheville/10-Woodcrest-Rd-28804/home/111288763,CANOPYMLS as Distributed by MLS Grid,4221990,N,Y,35.6241724,-82.5423475
MLS Listing,,Single Family Residential,34 Grovepoint Way,Asheville,NC,28804,3599999,6,4.0,Grove Park Cove,5191,60983,2018,2,694,67,Active,,,https://www.redfin.com/NC/Asheville/34-Grovepoint-Way-28804/home/110916277,CANOPYMLS as Distributed by MLS Grid,4228655,N,Y,35.6325798,-82.5388721
MLS Listing,,Single Family Residential,16 Josie Ln,Asheville,NC,28804,580000,3,2.5,Village Of Country Creek,2590,21780,1996,3,224,75,Active,,,https://www.redfin.com/NC/Asheville/16-Josie-Ln-28804/home/110937824,CANOPYMLS as Distributed by MLS Grid,4228635,N,Y,35.6860818,-82.5964301
MLS Listing,,Townhouse,7 Creekside Way,Asheville,NC,28804,775000,4,3.0,Creekside,2514,1742,1996,4,308,575,Active,March-9-2025 02:00 PM,March-9-2025 04:00 PM,https://www.redfin.com/NC/Asheville/7-Creekside-Way-28804/home/191085996,CANOPYMLS as Distributed by MLS Grid,4228593,N,Y,35.639055,-82.5458042
MLS Listing,,Vacant Land,000 W Highway 25-70,Newport,TN,37821,700000,,,Newport,,196891,,6,,,Active,,,https://www.redfin.com/TN/Newport/70-US-25-37821/home/117470265,GSMAR,305158,N,Y,35.6399978,-82.5788142
MLS Listing,,Single Family Residential,24 Old Leicester Hwy,Asheville,NC,28804,799900,2,2.0,Asheville,1361,24393,1920,7,588,,Active,March-8-2025 02:00 PM,March-8-2025 04:00 PM,https://www.redfin.com/NC/Asheville/24-Old-Leicester-Hwy-28804/home/111285277,CANOPYMLS as Distributed by MLS Grid,4227055,N,Y,35.628059,-82.6036874
MLS Listing,,Single Family Residential,127 N Griffing Blvd,Asheville,NC,28804,2250000,3,3.5,Kimberly Heights,2953,20473,2017,8,762,,Active,March-8-2025 12:00 PM,March-8-2025 02:00 PM,https://www.redfin.com/NC/Asheville/127-N-Griffing-Blvd-28804/home/111295513,CANOPYMLS as Distributed by MLS Grid,4222595,N,Y,35.6302354,-82.5424612
MLS Listing,,Single Family Residential,42 Pine Acre Blvd,Asheville,NC,28804,1595000,4,3.5,The Midlands,3405,33105,2006,8,468,,Active,,,https://www.redfin.com/NC/Asheville/42-Pine-Acre-Blvd-28804/home/110893302,CANOPYMLS as Distributed by MLS Grid,4223859,N,Y,35.6402289,-82.5682656
