SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download"
PAST SALE,,Condo/Co-op,288 Macon Ave #30,Asheville,NC,28804,3100000,3,3.5,,2823,,2008,,1098,,,,,https://www.redfin.com/NC/Asheville/288-Macon-Ave-28804/unit-30/home/105493908,,,N,Y,35.6186078,-82.5415518
PAST SALE,December-20-2024,Single Family Residential,579 Country Oak Dr,Asheville,NC,28804,492090,5,3.0,Rydele Heights,2510,8276,2024,,196,35,Sold,,,https://www.redfin.com/NC/Asheville/579-Country-Oak-Dr-28804/home/193810617,CANOPYMLS as Distributed by MLS Grid,4165819,N,Y,35.6896539,-82.5856593
PAST SALE,,Single Family Residential,99 Spooks Branch Rd,Asheville,NC,28804,275000,3,1.5,,1040,48787,1972,,264,,,,,https://www.redfin.com/NC/Asheville/99-Spooks-Branch-Rd-28804/home/102027698,,,N,Y,35.6343716,-82.5347115
PAST SALE,,Vacant Land,1060 Old Marshall Hwy,Asheville,NC,28804,75000,,,,,44867,,,,,,,,https://www.redfin.com/NC/Asheville/1060-Old-Marshall-Hwy-28804/home/102031710,,,N,Y,35.6788859,-82.6127029
PAST SALE,February-11-2025,Single Family Residential,37 Brookcliff Dr,Asheville,NC,28804,525000,3,,Beaverbrook,1567,10018,1971,,335,,Sold,,,https://www.redfin.com/NC/Asheville/37-Brookcliff-Dr-28804/home/110814940,CANOPYMLS as Distributed by MLS Grid,4222408,N,Y,35.6459222,-82.5305205
PAST SALE,November-26-2024,Vacant Land,33 Reese St,Asheville,NC,28804,100777,,,Asheville,,30491,,,,,Sold,,,https://www.redfin.com/NC/Asheville/33-Reese-St-28804/home/111272454,CANOPYMLS as Distributed by MLS Grid,4204254,N,Y,35.6327104,-82.5864961
PAST SALE,January-28-2025,Single Family Residential,583 Country Oak Dr,Asheville,NC,28804,464490,4,2.0,Rydele Heights,1764,8363,2024,,263,35,Sold,,,https://www.redfin.com/NC/Asheville/583-Country-Oak-Dr-28804/home/192107698,CANOPYMLS as Distributed by MLS Grid,4165818,N,Y,35.6898026,-82.5856504
PAST SALE,September-24-2024,Condo/Co-op,288 Macon Ave #302,Asheville,NC,28804,3100000,3,3.5,The Fitzgerald Condominium,2823,,2008,,1098,1162,Sold,,,https://www.redfin.com/NC/Asheville/288-Macon-Ave-28804/unit-302/home/192281389,CANOPYMLS as Distributed by MLS Grid,4177444,N,Y,35.6186078,-82.5415518
PAST SALE,December-6-2024,Single Family Residential,556 Country Oak Dr,Asheville,NC,28804,483890,3,2.5,Rydele Heights,2340,8407,2024,,207,35,Sold,,,https://www.redfin.com/NC/Asheville/556-Country-Oak-Dr-28804/home/193810689,CANOPYMLS as Distributed by MLS Grid,4205589,N,Y,35.6887746,-82.5861244
PAST SALE,,Single Family Residential,56 Gill Branch Rd,Weaverville,NC,28787,4150000,3,1.0,,1453,1985029,1965,,2856,,,,,https://www.redfin.com/NC/Weaverville/56-Gill-Branch-Rd-28787/home/102237342,,,N,Y,35.695211,-82.582755
PAST SALE,November-21-2024,Single Family Residential,563 Country Oak Dr,Asheville,NC,28804,494990,4,2.5,Rydele Heights,2820,8363,2024,,176,35,Sold,,,https://www.redfin.com/NC/Asheville/563-Country-Oak-Dr-28804/home/190653421,CANOPYMLS as Distributed by MLS Grid,4135348,N,Y,35.6849521,-82.584302
PAST SALE,February-28-2025,Single Family Residential,7 Pine Meadow Dr #11,Asheville,NC,28804,620000,3,2.0,Asheville,1688,20037,1979,,367,,Sold,,,https://www.redfin.com/NC/Asheville/7-Pine-Meadow-Dr-28804/unit-11/home/194911217,CANOPYMLS as Distributed by MLS Grid,4228586,N,Y,35.6308077,-82.5732307
PAST SALE,,Single Family Residential,24 Kimberly Ave,Asheville,NC,28804,434500,4,4.5,,4940,38768,1951,,88,,,,,https://www.redfin.com/NC/Asheville/24-Kimberly-Ave-28804/home/102035750,,,N,Y,35.6130641,-82.5509041
PAST SALE,December-13-2024,Single Family Residential,571 Country Oak Dr,Asheville,NC,28804,453240,3,2.0,Rydele Heights,1618,8363,2024,,280,35,Sold,,,https://www.redfin.com/NC/Asheville/571-Country-Oak-Dr-28804/home/191737004,CANOPYMLS as Distributed by MLS Grid,4162896,N,Y,35.6893423,-82.5856467
PAST SALE,December-2-2024,Single Family Residential,182 Beaver Dr,Asheville,NC,28804,260000,2,2.0,Lake View Terrace,1103,25264,1963,,236,,Sold,,,https://www.redfin.com/NC/Asheville/182-Beaver-Dr-28804/home/111027316,CANOPYMLS as Distributed by MLS Grid,4197080,N,Y,35.6422913,-82.5718186
PAST SALE,,Single Family Residential,134 Goldview Rd,Asheville,NC,28804,174000,2,2.0,,1253,54014,1929,,139,,,,,https://www.redfin.com/NC/Asheville/134-Goldview-Rd-28804/home/111063837,,,N,Y,35.6819071,-82.6023329
PAST SALE,September-9-2024,Multi-Family (5+ Unit),35 Brookdale Rd,Asheville,NC,28804,715000,,,Asheville,9999,49222,1975,,72,,Sold,,,https://www.redfin.com/NC/Asheville/35-Brookdale-Rd-28804/home/162853325,CANOPYMLS as Distributed by MLS Grid,4150812,N,Y,35.6338213,-82.5773063
PAST SALE,November-25-2024,Single Family Residential,55 Chantilly Dr,Asheville,NC,28804,975000,3,2.5,Thoms Estate,2495,6534,2014,,391,299,Sold,,,https://www.redfin.com/NC/Asheville/55-Chantilly-Dr-28804/home/110916558,CANOPYMLS as Distributed by MLS Grid,4173971,N,Y,35.6400653,-82.547767
PAST SALE,January-8-2025,Single Family Residential,7 Waterside Dr,Asheville,NC,28804,1650000,4,4.0,Reynolds Mountain,2843,21780,2016,,580,142,Sold,,,https://www.redfin.com/NC/Asheville/7-Waterside-Dr-28804/home/102060532,CANOPYMLS as Distributed by MLS Grid,4202020,N,Y,35.6517367,-82.5634577
PAST SALE,September-25-2024,Townhouse,11 Point Bluff Dr,Asheville,NC,28804,1670000,3,3.5,Reynolds Mountain,3547,8276,2006,,471,344,Sold,,,https://www.redfin.com/NC/Asheville/11-Point-Bluff-Dr-28804/home/111128347,CANOPYMLS as Distributed by MLS Grid,4168164,N,Y,35.6462857,-82.5712225
PAST SALE,November-21-2024,Single Family Residential,567 Country Oak Dr,Asheville,NC,28804,463490,4,2.0,Rydele Heights,1764,8363,2024,,263,35,Sold,,,https://www.redfin.com/NC/Asheville/567-Country-Oak-Dr-28804/home/190891536,CANOPYMLS as Distributed by MLS Grid,4143924,N,Y,35.6849521,-82.584302
PAST SALE,December-30-2024,Single Family Residential,92 Flynn Branch Rd,Asheville,NC,28804,130000,3,1.0,Winfield,,48351,1963,,,,Sold,,,https://www.redfin.com/NC/Asheville/92-Flynn-Branch-Rd-28804/home/111211731,CANOPYMLS as Distributed by MLS Grid,4205038,N,Y,35.6393536,-82.6048963
PAST SALE,November-26-2024,Single Family Residential,559 Country Oak Dr,Asheville,NC,28804,497490,4,3.5,Rydele Heights,2565,8363,2024,,194,35,Sold,,,https://www.redfin.com/NC/Asheville/559-Country-Oak-Dr-28804/home/190342951,CANOPYMLS as Distributed by MLS Grid,4124153,N,Y,35.6849521,-82.584302
PAST SALE,December-17-2024,Vacant Land,25 Culvern St #4,Asheville,NC,28804,127000,,,Asheville,,5662,,,,,Sold,,,https://www.redfin.com/NC/Asheville/25-Culvern-St-28804/unit-4/home/170234822,CANOPYMLS as Distributed by MLS Grid,4201610,N,Y,35.631739,-82.551541
PAST SALE,February-12-2025,Condo/Co-op,48 Clubside Dr Unit JJ1,Asheville,NC,28804,660000,2,2.5,Beaverdam Run,2191,,1989,,301,950,Sold,,,https://www.redfin.com/NC/Asheville/48-Clubside-Dr-28804/unit-JJ1/home/111043187,CANOPYMLS as Distributed by MLS Grid,4213921,N,Y,35.6454159,-82.5214164
PAST SALE,February-28-2025,Single Family Residential,10 Brookwood Rd,Asheville,NC,28804,900000,3,2.0,Sherwood Heights,1920,22651,1957,,469,,Sold,,,https://www.redfin.com/NC/Asheville/10-Brookwood-Rd-28804/home/111103068,CANOPYMLS as Distributed by MLS Grid,4217373,N,Y,35.6475034,-82.5557977
PAST SALE,September-11-2024,Townhouse,68 Creekside View Dr,Asheville,NC,28804,650000,2,2.5,Pinebrook Farms,1992,2613,2018,,326,349,Sold,,,https://www.redfin.com/NC/Asheville/68-Creekside-View-Dr-28804/home/146038196,CANOPYMLS as Distributed by MLS Grid,4163793,N,Y,35.6927696,-82.5871715
PAST SALE,,Single Family Residential,124 Norwood Ave,Asheville,NC,28804,760000,2,1.0,,1314,4792,1922,,578,,,,,https://www.redfin.com/NC/Asheville/124-Norwood-Ave-28804/home/102049878,,,N,Y,35.6155203,-82.5506822
PAST SALE,September-26-2024,Single Family Residential,51 River Walk Dr,Woodfin,NC,28804,500000,3,2.0,River Walk,1537,9147,2020,,325,20,Sold,,,https://www.redfin.com/NC/Asheville/51-River-Walk-Dr-28804/home/111011339,CANOPYMLS as Distributed by MLS Grid,4171659,N,Y,35.6330765,-82.5959759
PAST SALE,,Condo/Co-op,27 Ridge Ter #2,Asheville,NC,28804,795000,2,2.0,,3088,,1986,,257,,,,,https://www.redfin.com/NC/Asheville/27-Ridge-Ter-28804/unit-2/home/111193649,,,N,Y,35.649463,-82.5208458
PAST SALE,February-7-2025,Single Family Residential,20 Nichols Hill Dr,Asheville,NC,28804,779000,5,4.0,Northridge,3279,55756,1981,,238,,Sold,,,https://www.redfin.com/NC/Asheville/20-Nichols-Hill-Dr-28804/home/111218474,CANOPYMLS as Distributed by MLS Grid,4202462,N,Y,35.6869125,-82.5924182
PAST SALE,January-8-2025,Single Family Residential,16 Griffing Blvd,Asheville,NC,28804,889000,3,4.0,Kimberly Heights,3213,13939,1954,,277,,Sold,,,https://www.redfin.com/NC/Asheville/16-Griffing-Blvd-28804/home/110827314,CANOPYMLS as Distributed by MLS Grid,4204502,N,Y,35.62668,-82.5448058
PAST SALE,February-19-2025,Townhouse,9 Holland Mountain Vw,Asheville,NC,28804,765000,3,3.0,Pinebrook Farms,2740,2613,2014,,279,349,Sold,,,https://www.redfin.com/NC/Asheville/9-Holland-Mountain-Vw-28804/home/111339496,CANOPYMLS as Distributed by MLS Grid,4212721,N,Y,35.6925077,-82.5886439
PAST SALE,December-3-2024,Single Family Residential,232 Country Club Rd,Asheville,NC,28804,1150000,4,3.5,Asheville,3050,11761,1950,,377,,Sold,,,https://www.redfin.com/NC/Asheville/232-Country-Club-Rd-28804/home/111290401,CANOPYMLS as Distributed by MLS Grid,4194321,N,Y,35.6242101,-82.5473688
PAST SALE,December-3-2024,Single Family Residential,60 Ardoyne Rd,Asheville,NC,28804,1095000,3,3.0,Sherwood Heights/Lakeview Park,3127,25264,1951,,350,40,Sold,,,https://www.redfin.com/NC/Asheville/60-Ardoyne-Rd-28804/home/111087355,CANOPYMLS as Distributed by MLS Grid,4184627,N,Y,35.6430761,-82.5658193
PAST SALE,September-20-2024,Single Family Residential,4 Red Oak Rd,Asheville,NC,28804,602000,3,2.5,Lakeview Park,1252,16552,1950,,481,,Sold,,,https://www.redfin.com/NC/Asheville/4-Red-Oak-Rd-28804/home/111282937,CANOPYMLS as Distributed by MLS Grid,4170863,N,Y,35.6308372,-82.5654348
PAST SALE,December-4-2024,Single Family Residential,54 Mills Pl,Asheville,NC,28804,495000,3,2.5,Town And Country Estates,1763,27007,1977,,281,,Sold,,,https://www.redfin.com/NC/Asheville/54-Mills-Pl-28804/home/102046906,CANOPYMLS as Distributed by MLS Grid,4183662,N,Y,35.6484504,-82.585573
PAST SALE,September-20-2024,Single Family Residential,599 Beaverdam Rd,Asheville,NC,28804,673000,3,1.5,Beaverdam,1097,43560,1938,,613,,Sold,,,https://www.redfin.com/NC/Asheville/599-Beaverdam-Rd-28804/home/109197596,CANOPYMLS as Distributed by MLS Grid,4168525,N,Y,35.64406,-82.5200931
PAST SALE,January-10-2025,Single Family Residential,74 Wolfe Cove Rd,Asheville,NC,28804,925000,3,2.5,Asheville,2580,19602,2020,,359,,Sold,,,https://www.redfin.com/NC/Asheville/74-Wolfe-Cove-Rd-28804/home/169928118,CANOPYMLS as Distributed by MLS Grid,4201983,N,Y,35.6374461,-82.528468
PAST SALE,January-24-2025,Single Family Residential,322 Midland Dr,Asheville,NC,28804,675000,2,2.5,Lakeview Park,2183,19166,1948,,309,32,Sold,,,https://www.redfin.com/NC/Asheville/322-Midland-Dr-28804/home/110888167,CANOPYMLS as Distributed by MLS Grid,4174643,N,Y,35.6406768,-82.5658012
PAST SALE,October-11-2024,Single Family Residential,96 Barnard Ave,Asheville,NC,28804,490000,2,1.5,Asheville,976,6534,1927,,502,,Sold,,,https://www.redfin.com/NC/Asheville/96-Barnard-Ave-28804/home/111339187,CANOPYMLS as Distributed by MLS Grid,4176864,N,Y,35.6175054,-82.5616501
PAST SALE,September-23-2024,Single Family Residential,119 Woodland Hills Rd,Asheville,NC,28804,454000,3,2.0,Woodland Hills,1532,18295,1970,,296,4,Sold,,,https://www.redfin.com/NC/Asheville/119-Woodland-Hills-Rd-28804/home/110877506,CANOPYMLS as Distributed by MLS Grid,4170752,N,Y,35.6789398,-82.5900627
PAST SALE,February-25-2025,Single Family Residential,55 Inglewood Rd,Asheville,NC,28804,1150000,3,2.5,Asheville,2318,60548,1952,,496,,Sold,,,https://www.redfin.com/NC/Asheville/55-Inglewood-Rd-28804/home/102034204,CANOPYMLS as Distributed by MLS Grid,4145037,N,Y,35.6405012,-82.551257
